fecha,TmaxC,TminC,Lluvia
1996-08-11,NA,NA,0
1996-08-12,NA,NA,0
1996-08-13,NA,NA,0
1996-08-14,NA,NA,0
1996-08-15,NA,NA,0
1996-08-16,NA,NA,0
1996-08-17,NA,NA,0
1996-08-18,NA,NA,0
1996-08-19,NA,NA,40.3
1996-08-20,NA,NA,0
1996-08-21,NA,NA,0
1996-08-22,NA,NA,11.8
1996-08-23,NA,NA,12.1
1996-08-24,NA,NA,27.2
1996-08-25,NA,NA,0
1996-08-26,NA,NA,5.4
1996-08-27,NA,NA,7.3
1996-08-28,NA,NA,0
1996-08-29,NA,NA,0
1996-08-30,NA,NA,0
1996-08-31,NA,NA,0
1996-09-01,NA,NA,0
1996-09-01,NA,NA,0
1996-09-02,NA,NA,16.8
1996-09-03,NA,NA,0
1996-09-04,NA,NA,0
1996-09-05,NA,NA,0
1996-09-06,NA,NA,10.5
1996-09-07,NA,NA,10.3
1996-09-08,NA,NA,0
1996-09-09,NA,NA,0.8
1996-09-10,NA,NA,0
1996-09-11,NA,NA,0
1996-09-12,NA,NA,0
1996-09-13,NA,NA,0
1996-09-14,NA,NA,0
1996-09-15,NA,NA,0.1
1996-09-16,NA,NA,0
1996-09-17,NA,NA,17.2
1996-09-18,NA,NA,4.2
1996-09-19,NA,NA,33.8
1996-09-20,NA,NA,0
1996-09-21,NA,NA,NA
1996-09-22,NA,NA,7.8
1996-09-23,NA,NA,1.2
1996-09-24,NA,NA,8
1996-09-25,NA,NA,32.7
1996-09-26,NA,NA,1.6
1996-09-27,NA,NA,1.5
1996-09-28,NA,NA,5.5
1996-09-29,NA,NA,0
1996-09-30,NA,NA,32.2
1996-10-01,NA,NA,66.3
1996-10-01,NA,NA,66.3
1996-10-02,NA,NA,7
1996-10-03,NA,NA,0
1996-10-04,NA,NA,0
1996-10-05,NA,NA,36.8
1996-10-06,NA,NA,10
1996-10-07,NA,NA,64.8
1996-10-08,NA,NA,58
1996-10-09,NA,NA,71
1996-10-10,NA,NA,29.8
1996-10-11,NA,NA,0
1996-10-12,NA,NA,0
1996-10-13,NA,NA,12.2
1996-10-14,NA,NA,43.2
1996-10-15,NA,NA,66.2
1996-10-16,NA,NA,45.7
1996-10-17,NA,NA,23.5
1996-10-18,NA,NA,4.8
1996-10-19,NA,NA,1
1996-10-20,NA,NA,3.1
1996-10-21,NA,NA,2.2
1996-10-22,NA,NA,0
1996-10-23,NA,NA,0
1996-10-24,NA,NA,1.4
1996-10-25,NA,NA,0
1996-10-26,NA,NA,1.4
1996-10-27,NA,NA,0
1996-10-28,NA,NA,13.4
1996-10-29,NA,NA,0.1
1996-10-30,NA,NA,0
1996-10-31,NA,NA,0
1996-11-01,NA,NA,6.5
1996-11-01,NA,NA,6.5
1996-11-02,NA,NA,2.5
1996-11-03,NA,NA,0
1996-11-04,NA,NA,0
1996-11-05,NA,NA,0
1996-11-06,NA,NA,0
1996-11-07,NA,NA,0.3
1996-11-08,NA,NA,0
1996-11-09,NA,NA,0
1996-11-10,NA,NA,0
1996-11-11,NA,NA,0
1996-11-12,NA,NA,0
1996-11-13,NA,NA,0
1996-11-14,NA,NA,0
1996-11-15,NA,NA,1.1
1996-11-16,NA,NA,45.9
1996-11-17,NA,NA,65
1996-11-18,NA,NA,28
1996-11-19,NA,NA,37
1996-11-20,NA,NA,36.5
1996-11-21,NA,NA,4.7
1996-11-22,NA,NA,49
1996-11-23,NA,NA,7.6
1996-11-24,NA,NA,0
1996-11-25,NA,NA,0
1996-11-26,NA,NA,0.5
1996-11-27,NA,NA,0
1996-11-28,NA,NA,0.4
1996-11-29,NA,NA,0.2
1996-11-30,NA,NA,0
1996-12-01,NA,NA,0
1996-12-01,NA,NA,0
1996-12-02,NA,NA,0.2
1996-12-03,NA,NA,0
1996-12-04,NA,NA,0
1996-12-05,NA,NA,0
1996-12-06,NA,NA,0
1996-12-07,NA,NA,0
1996-12-08,NA,NA,0
1996-12-09,NA,NA,1.7
1996-12-10,NA,NA,0.5
1996-12-11,NA,NA,NA
1996-12-12,NA,NA,1.2
1996-12-13,NA,NA,0
1996-12-14,NA,NA,0
1996-12-15,NA,NA,0
1996-12-16,NA,NA,0
1996-12-17,NA,NA,0
1996-12-18,NA,NA,0
1996-12-19,NA,NA,0
1996-12-20,NA,NA,0
1996-12-21,NA,NA,0
1996-12-22,NA,NA,0
1996-12-23,NA,NA,0
1996-12-24,NA,NA,0
1996-12-25,NA,NA,0
1996-12-26,NA,NA,0
1996-12-27,NA,NA,0
1996-12-28,NA,NA,0
1996-12-29,NA,NA,0
1996-12-30,NA,NA,0
1996-12-31,NA,NA,0
1997-01-01,NA,NA,0
1997-04-01,NA,NA,0
1997-04-02,NA,NA,0
1997-04-03,NA,NA,0
1997-04-04,NA,NA,0
1997-04-05,NA,NA,0
1997-04-06,NA,NA,0
1997-04-07,NA,NA,0
1997-04-08,NA,NA,0
1997-04-09,NA,NA,0
1997-04-10,NA,NA,0
1997-04-11,NA,NA,0
1997-04-12,NA,NA,0
1997-04-13,NA,NA,0
1997-04-14,NA,NA,0
1997-04-15,NA,NA,0
1997-04-16,NA,NA,0
1997-04-17,NA,NA,0
1997-04-18,NA,NA,0
1997-04-19,NA,NA,0
1997-04-20,NA,NA,0
1997-04-21,NA,NA,0
1997-04-22,NA,NA,6.8
1997-04-23,NA,NA,0
1997-04-24,NA,NA,0
1997-04-25,NA,NA,0
1997-04-26,NA,NA,0
1997-04-27,NA,NA,0
1997-04-28,NA,NA,6.9
1997-04-29,NA,NA,9.5
1997-04-30,NA,NA,0.9
1997-05-01,NA,NA,0
1997-05-01,NA,NA,0
1997-05-02,NA,NA,0
1997-05-03,NA,NA,0
1997-05-04,NA,NA,0
1997-05-05,NA,NA,0
1997-05-06,NA,NA,0
1997-05-07,NA,NA,0
1997-05-08,NA,NA,0
1997-05-09,NA,NA,0
1997-05-10,NA,NA,0
1997-05-11,NA,NA,0
1997-05-12,NA,NA,0
1997-05-13,NA,NA,0
1997-05-14,NA,NA,2.1
1997-05-15,NA,NA,0
1997-05-16,NA,NA,0
1997-05-17,NA,NA,0
1997-05-18,NA,NA,0
1997-05-19,NA,NA,0
1997-05-20,NA,NA,0
1997-05-21,NA,NA,0
1997-05-22,NA,NA,0
1997-05-23,NA,NA,0
1997-05-24,NA,NA,0
1997-05-25,NA,NA,0
1997-05-26,NA,NA,0
1997-05-27,NA,NA,0
1997-05-28,NA,NA,0
1997-05-29,NA,NA,0
1997-05-30,NA,NA,4.3
1997-05-31,NA,NA,0
1997-06-01,NA,NA,6.7
1997-06-01,NA,NA,0
1997-06-02,NA,NA,0
1997-06-03,NA,NA,4.1
1997-06-04,NA,NA,9.5
